Gamemode,Date,Time,Result,Score Before,Score After,Start Color,Comments
Blitz-3,2023-05-06,11:58,W,586,577,Black,"Even game lost on time"
Blitz-3,2023-05-06,12:05,L,577,568,White,"Lost on blunder mid game, even attack"
Blitz-3,2023-05-06,12:12,L,568,561,Black,"Even game lost on time"
Blitz-3,2023-05-06,12:17,L,561,552,White,"Pretty even close time loss"
Blitz-3,2023-05-06,12:25,L,552,544,Black,"Early game blunder"
Blitz-3,2023-05-06,12:35,L,544,535,Black,"Late game pressure loss and time"
Blitz-3,2023-05-06,12:42,W,535,541,White,"Solid pressure all game"
Blitz-3,2023-05-06,12:50,W,541,551,White,"Solid pressure all game eaasy win"
Blitz-3,2023-05-07,21:42,W,551,560,White,"Opponent resigned under early fork"
Blitz-3,2023-05-07,21:45,W,560,568,White,"Easy win opponent blunder losses pretty early"
Blitz-3,2023-05-07,21:49,L,568,559,Black,"Lost to tough corner mate"
Blitz-3,2023-05-07,21:57,L,559,551,Black,"Lost late game to time"
Blitz-3,2023-05-07,22:05,L,551,543,Black,"Lost late game to fork"
Blitz-3,2023-05-08,19:50,L,543,535,White,"Lost close game on time"
Blitz-3,2023-05-08,19:55,W,535,542,Black,"Rematch same guy, won on time"
Blitz-3,2023-05-08,20:01,W,542,550,Black,"Solid win with pressure and checks"
Blitz-3,2023-05-08,20:08,L,550,543,Black,"Lost winning position to unexpected mate"
Blitz-3,2023-05-08,20:15,L,543,534,Black,"Blundered mid game and lost too much time"
Blitz-3,2023-05-08,20:18,W,534,541,Black,"Solid win with corner mate knight and queen"
